MathRes-MX,ReadingRes-MX,ScienceRes-MX,MathRes-JP,ReadingRes-JP,ScienceRes-JP,MathRes-UK,ReadingRes-UK,ScienceRes-UK
268.1181,325.9888,288.6423,453.5052,500.3955,540.414,469.6292,489.89,515.4233
311.427,325.0356,325.1958,561.0765,596.928,566.7102,361.1232,323.8874,333.6815
435.5118,467.93199999999996,447.3517,503.5909,496.6263,594.6848,476.2502,474.2071,522.79
251.0594,263.8217,330.6975,501.5657,552.1289,528.4782,424.1393,468.5583,502.3685
329.1089,314.7096,316.5237,512.0034,594.2230000000001,525.9605,483.1048,487.0749,473.4614
395.3965,419.5594,429.2615,530.62,547.4425,570.2536,377.9483,444.1822,427.583
440.49699999999996,527.5847,536.8706,501.0204,542.6766,501.436,281.36,332.1844,329.8583
329.8878,342.5105,358.7654,450.0779,458.6943,473.8344,332.1468,316.5897,358.6721
513.4834,576.9908,559.2503,498.0604,514.6701,514.3976,707.5946,689.4139,775.7739999999999
479.5217,521.3891,469.3584,485.5196,476.7489,520.3655,549.3924,542.1206,562.0477
438.0823,470.871,382.6371,435.9012,526.711,521.1115,366.3421,391.5715,364.3603
364.94,313.9153,344.7781,516.7549,510.6604,490.1529,520.4938,507.61300000000006,471.4099
362.4474,415.587,314.8452,497.9047,489.89,539.3883,469.5513,446.6651,529.7837
419.6993,398.9065,467.8665,511.3024,547.4696,536.1246,577.4342,579.2267,646.9041
362.5253,443.3879,413.1294,564.9712,506.9327,483.9985,487.3111,502.8817,497.7993
337.5214,316.8302,388.8847,560.687,574.9764,574.5431,541.6809,629.8919,657.0683
436.6023,456.0968,414.7147,608.5138,645.0632,591.6076,593.714,552.5219,576.7811
409.8847,444.2593,444.5543,482.4038,469.6001,441.1041,515.5865,532.2712,544.3305
517.5339,493.17800000000005,522.2305,479.2102,430.6789,428.702,552.4303,549.746,549.6457
313.7638,343.9402,330.7907,277.4653,234.9516,245.7479,445.0927,507.4887,424.226
342.2729,387.4684,402.2193,346.9466,306.6076,243.0436,409.1058,457.6854,418.2581
436.2907,474.2865,489.3137,586.3919999999999,566.155,492.4841,565.6722,522.8499,543.398
486.9995,511.7831,468.79900000000004,419.4656,423.6493,369.0228,498.6836,517.9736,535.6583
256.3561,128.2128,271.1115,475.3934,510.8208,526.3335,350.1402,415.8253,454.8116
523.298,459.3359,479.9888,600.6465,606.4597,566.7102,468.5387,480.9587,513.5584
377.8704,466.6336,314.9385,450.4674,397.7465,410.705,480.8459,487.8692,481.20099999999996
402.4069,409.3914,412.4767,433.7981,441.7733,397.9299,544.7188,572.8111,595.6173
564.1922,566.155,485.4905,460.5936,442.0941,439.8918,325.4479,311.1364,385.24800000000005
399.2133,520.4359,478.1238,463.3198,526.7904,506.4715,553.2092,593.4211,558.1313
456.0757,440.2106,445.207,332.8478,264.0623,247.7993,506.0056,552.1289,590.1156
315.08799999999997,373.4886,389.2577,529.2958,570.7158,547.1279,402.4069,383.2313,396.1581
362.6032,410.8211,314.006,483.1048,457.6854,453.8791,509.9003,533.8598,536.0313
406.769,442.7524,394.9459,422.11400000000003,420.1208,342.9131,586.3919999999999,612.5759,564.2857
422.0361,432.0697,401.6598,427.7224,355.48400000000004,369.9552,581.4068,506.6506,533.0474
381.9988,343.2142,438.3066,561.1544,536.1633,421.1488,398.2007,387.3212,424.0395
321.5532,211.6952,237.542,549.4703,508.1743,504.42,461.0609,426.6279,434.2969
388.9313,372.8862,364.2671,511.2245,447.3594,443.342,557.5713,601.4406,628.6274
463.7872,455.4865,346.9228,493.1531,544.5035,486.5162,633.5177,599.0726,670.4961
566.9185,544.9007,515.4233,519.2475,514.7503,537.8963,575.9542,550.4609,575.0093
365.4853,387.945,366.9713,456.621,446.6651,427.583,600.1013,568.4004,572.2119
610.1496,555.7297,582.4692,563.5691,519.8827,584.4275,437.1475,542.6766,469.7314
359.9548,331.3107,336.3857,445.0927,468.5675,436.3484,430.916,470.7235,548.9929
367.0432,400.9543,376.4827,530.7758,530.7090000000001,535.8448,425.4635,506.8532,485.30400000000003
384.9587,446.724,406.3223,524.3885,541.8823,457.6091,531.7105,539.6106,601.3055
388.0745,362.6213,389.5375,545.9651,602.1704,542.4655,456.8547,473.0156,447.3517
523.298,461.9021,465.069,353.8012,268.6333,281.1824,332.5362,311.0562,347.5755
454.5178,491.5741,418.1649,391.1902,372.806,362.2156,487.2332,487.8049,527.5457
