CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,0,15.83,1,1,4,4,4,2,4,537.7863,559.4186,500.1305
Mexico,1,15.67,4,4,1,2,1,1,1,603.0612,595.2599,475.1399
Mexico,0,16.08,3,4,2,1,1,1,1,543.0830000000001,458.8547,476.0724
Mexico,0,15.42,2,3,2,2,2,2,2,382.9335,326.5338,348.135
Mexico,1,16.17,2,4,2,2,1,2,1,397.5775,454.1905,403.1518
Mexico,0,15.33,3,3,2,2,1,1,1,435.8233,433.834,452.9467
Mexico,0,15.83,3,3,2,2,2,2,2,362.3695,326.5338,366.0388
Mexico,1,15.67,4,4,1,1,1,1,1,455.9199,492.7145,487.7285
Mexico,1,15.25,2,3,2,2,2,2,2,367.121,395.8087,342.2604
Mexico,1,15.33,3,3,2,2,1,1,1,467.9935,524.4075,499.5711
Mexico,0,15.67,3,3,2,1,1,1,2,348.0371,328.7792,400.7273
Mexico,1,15.92,2,3,2,2,2,2,2,468.3829,507.727,423.0138
Mexico,0,15.58,4,4,1,1,1,1,1,465.423,437.0418,502.3685
Mexico,1,15.5,3,3,2,2,2,2,2,474.225,453.555,443.6218
Mexico,1,15.75,2,4,2,1,1,1,1,358.6306,377.4601,354.3827
Mexico,0,15.25,3,3,1,1,1,1,1,377.6367,416.1912,374.6177
Mexico,0,16.08,1,4,1,1,1,1,1,353.4896,414.5873,317.7359
Mexico,1,15.92,3,4,2,2,1,1,2,419.23199999999997,436.2391,449.2167
Mexico,0,15.33,3,4,2,2,2,2,2,574.2405,575.1368,524.7482
Mexico,0,15.58,3,4,2,1,1,1,2,423.594,439.2873,466.934
Mexico,1,15.58,2,3,2,2,2,2,2,310.2586,299.6971,342.2604
Mexico,0,15.92,2,3,2,2,2,2,2,479.9891,409.7757,444.5543
Mexico,1,15.92,4,4,1,1,1,1,1,455.7641,422.6564,502.3685
Mexico,1,16.08,4,4,1,1,3,1,1,388.0745,437.8277,387.6725
Mexico,0,15.58,1,4,4,4,1,1,1,432.4739,367.43300000000005,358.5789
Mexico,1,15.42,4,4,1,1,1,1,1,478.8986,543.4709,478.1238
Mexico,0,15.25,1,3,2,2,1,1,1,426.2424,471.6858,419.3771
Mexico,0,15.75,4,4,2,2,1,1,1,526.6475,540.4125,507.9634
Mexico,0,15.33,2,4,2,1,1,1,1,432.1623,419.399,425.9045
Mexico,1,16.17,3,4,2,1,1,1,1,503.6688,559.516,486.1432
Mexico,0,16.17,3,4,2,2,1,1,1,427.8003,397.9069,459.4741
Mexico,1,15.25,2,3,2,1,1,1,2,527.1927,547.2836,500.5035
Mexico,1,15.83,4,3,2,1,2,3,1,356.3717,386.9918,347.2958
Mexico,1,15.83,2,3,2,2,2,2,2,462.3072,512.4928,472.5289
Mexico,0,15.67,3,3,2,1,1,2,1,372.4178,396.8644,385.8075
Mexico,1,16.0,3,3,2,2,1,2,1,429.436,445.7708,451.9209
Mexico,0,15.25,1,4,2,1,1,2,1,354.1128,306.4851,391.962
Mexico,0,15.67,3,4,1,2,1,1,1,497.3594,453.8827,523.536
Mexico,0,16.17,3,4,1,2,1,2,3,455.9199,458.6943,434.2037
Mexico,1,15.25,4,4,1,1,1,1,1,374.2873,407.6439,339.8359
Mexico,1,16.17,3,4,2,2,3,2,1,320.3069,341.7162,287.8963
Mexico,0,16.08,1,3,1,1,1,1,1,531.3211,512.3445,519.1533
Mexico,1,15.92,3,4,2,2,2,2,2,388.3081,361.5739,416.2999
Mexico,1,15.58,3,4,1,1,1,1,1,514.2623,548.3956,581.4435
Mexico,1,15.75,1,4,1,1,1,1,1,291.4862,386.9918,358.7654
Mexico,1,15.33,1,4,2,2,1,1,2,408.5605,401.2894,391.4025
Mexico,0,15.75,3,4,2,1,2,2,1,446.6506,415.0685,464.69599999999997
Mexico,0,15.67,3,4,2,2,2,2,2,544.3293,512.4246,461.3391
Mexico,0,16.08,1,1,1,1,1,1,1,366.4979,395.3407,353.1705
Mexico,0,15.92,3,3,1,2,2,1,1,299.2756,247.9432,336.3857
Mexico,0,16.17,3,3,2,2,1,1,1,458.3346,432.7113,459.1011
Mexico,0,15.33,3,4,1,1,1,1,1,487.4669,493.17800000000005,519.1533
Mexico,1,15.25,3,3,3,2,2,2,2,414.5583,419.7174,393.0809
Mexico,1,15.75,2,4,1,1,1,1,1,460.5157,545.8539,479.0563
Mexico,0,15.92,4,4,2,2,2,2,2,489.6479,456.4489,446.0463
Mexico,1,15.33,3,4,2,1,1,1,1,402.329,431.4732,462.2715
Mexico,1,15.67,3,3,2,2,2,2,2,296.4714,382.3848,321.0929
Mexico,1,15.75,3,4,1,1,1,1,1,409.8847,453.7139,399.7949
Mexico,1,15.92,4,4,2,1,1,1,1,475.4713,339.3332,335.7329
Mexico,1,15.25,4,4,4,4,1,1,1,359.3317,377.4601,308.3178
Mexico,1,15.67,3,4,2,2,2,2,2,334.4057,353.6308,308.3178
Mexico,1,16.08,3,3,2,2,2,2,2,554.845,572.1455,510.1082
Mexico,0,15.33,2,3,3,2,2,2,1,508.8098,455.4865,519.1533
Mexico,1,16.08,3,4,2,2,1,1,2,473.7576,477.5432,425.9045
Mexico,0,15.67,2,2,2,2,2,2,2,385.6598,432.9519,374.6177
Mexico,1,16.08,2,4,1,2,2,2,2,423.1267,452.2841,491.9247
Mexico,0,15.92,2,3,2,2,2,2,2,317.8922,373.608,277.6389
Mexico,1,15.83,3,4,1,1,1,1,1,479.4438,491.8408,477.8441
Mexico,0,15.33,4,4,2,1,1,1,1,469.2398,506.4903,453.5062
