CNT,ST04Q01,AGE,ST13Q01,ST17Q01,ST19Q01,ST15Q01,ST26Q10,ST26Q02,BFMJ2,BMMJ1,PV1MATH,PV1READ,PV1SCIE
Mexico,0,15.5,1,3,1,4,1,2,32.5,29.73,469.1619,433.834,444.461
Mexico,1,16.0,1,2,2,2,1,1,83.5,68.7,461.2946,507.8858,474.3939
Mexico,1,15.5,3,1,1,1,1,2,25.04,38.58,404.4322,424.4833,380.9586
Mexico,1,15.92,3,5,1,4,2,2,41.27,65.12,398.9017,539.4199,408.1872
Mexico,1,15.58,2,2,2,2,2,2,40.54,21.24,352.9444,456.8117,378.3476
Mexico,0,15.58,1,4,1,1,1,1,29.73,35.34,362.2916,344.7379,328.9258
Mexico,1,15.67,5,4,1,4,1,1,11.74,21.24,330.4331,376.0304,350.37300000000005
Mexico,0,15.67,1,1,1,4,1,2,77.1,71.45,554.2218,523.6519,517.9411
Mexico,0,16.08,4,3,1,3,2,2,22.57,16.5,289.1494,275.2093,181.4062
Mexico,1,15.83,1,2,1,3,1,2,43.19,48.66,387.2176,497.3215,407.2548
Mexico,0,15.42,1,3,1,4,1,2,44.14,44.94,555.5459999999999,458.0528,522.8833
